material_id,formula,work_function_eV,E_ads_DFT_eV,band_gap_DFT,band_gap_CGCNN,formation_energy_DFT,formation_energy_CGCNN,energy_hull_DFT,energy_hull_CGCNN,bulk_modulus_DFT,bulk_modulus_CGCNN,shear_modulus_DFT,shear_modulus_CGCNN,young_modulus_DFT,young_modulus_CGCNN
6989,Ga,4.84575,-3.51518,0.0,0.556,0.04287,-0.818,0.0429,0.088,45.19,20.237,6.45,12.9,18.47119771863118,32.023
6948,Ag2Se,5.83168,-3.50413,0.074,0.037,-0.06499,0.046,0.2296,0.127,63.44,60.141,14.85,13.193,41.32551542623192,37.474
6975,SnF4,4.87863,-3.49809,3.368,3.732,-2.38709,-2.564,0.0116,-0.161,19.58,17.894,13.71,11.534,33.34680745341615,29.039
7126,NiS2,5.71763,-3.49629,0.0,-0.084,0.00882,0.119,1.4334,1.29,26.87,26.411,10.2,10.482,27.162933597621407,27.532
4302,SrH9ClO5,5.43522,-3.47394,4.6187000000000005,4.83,-1.6509906629431246,-1.749,,0.996,,29.841,,17.966,,44.851
6527,CoI2,5.58275,-3.46565,0.0,0.246,0.01733,-0.037,0.7879,0.116,26.82,-4.187,13.25,-5.196,34.12960196350443,-12.023
6074,ScAs2,5.56664,-3.44182,0.0,0.037,-0.72684,-0.711,1.8997,1.973,75.8,76.257,34.72,37.461,90.36313139020295,96.018
1119,PI3,5.32907,-3.42981,1.972,1.952,-0.03756,0.034,0.4933,0.381,9.81,6.725,6.37,3.666,15.709701117318438,9.503
4539,Mg(ReO4)2,5.0132,-3.37735,1.1,1.153,-1.91706,-1.928,0.0,-0.142,17.999999999999996,15.765,12.999999999999998,10.4,31.432835820895523,25.717
5233,Sr2FeBrO3,4.94632,-3.37196,0.0,-0.071,-2.38774,-2.602,1.1993,1.197,57.68,61.62,36.43,36.87,90.28281663245333,91.933
1511,SeI,5.07172,-3.37086,,0.475,,-0.214,,0.758,,19.986,,9.071,,23.494
3765,Nb3SBr7,5.48065,-3.36982,0.74,0.625,-1.05071,-1.048,1.8609,1.892,36.92,36.952,22.71,23.483,56.53763991908295,58.044
6306,SiO,5.06958,-3.36158,,1.609,-2.0532723431250006,-2.177,,1.079,,76.733,,35.87,,92.076
7087,AgBiO2,4.9864,-3.33956,1.304,0.628,-0.91121,-0.609,1.1324,1.053,56.02,94.362,21.61,12.554,57.443611535825376,37.646
6482,TiBr3,4.85467,-3.33387,0.0,0.109,-1.23487,-1.286,0.5834,0.337,21.22,18.303,14.69,10.827,35.807226547543074,26.899
7639,CrSe,5.39394,-3.31806,0.0,0.048,-0.30108,-0.232,1.9061,1.969,59.67,57.339,19.44,20.628,52.607020408163265,53.843
7090,ErAgP2Se6,5.1191,-3.30044,1.651,0.444,-0.54348,-0.159,1.7896,0.725,29.04,34.45,14.19,12.381,36.60742671009772,32.174
7113,SnO,5.66431,-3.27857,0.507,0.475,-1.42902,-1.495,0.2262,0.28,47.82,46.364,32.25,28.365,78.9924022537135,71.01
6053,SiTe,5.78538,-3.27298,,0.369,,-0.1,,0.837,,32.188,,23.536,,56.728
7029,SiS,5.2337,-3.26093,0.658,0.709,-0.38924,-0.276,1.4819,1.434,6.63,4.231,5.44,4.542,12.815033557046979,10.351
6994,Se,4.8803,-3.23578,0.0,-0.009,0.13368,0.19,0.1337,0.052,70.6,57.463,17.58,16.948,48.69793356003138,45.359
1946,AuS2,5.10892,-3.22755,0.0,0.034,0.02501,0.181,1.255,1.152,38.77,39.114,22.22,18.524,55.96783801342669,47.713
4144,Li2P4WO13,4.8224,-3.21773,2.9840999999999998,3.326,-2.5753209036160714,-2.764,,1.324,,98.012,,40.023,,103.501
1706,Al2Se5,5.21811,-3.19889,,0.621,,-0.721,,0.876,,32.788,,17.211,,43.439
4758,NaSbO2,4.73705,-3.19574,0.656,0.662,-1.51753,-1.573,1.0491,1.014,72.97,70.386,33.5,32.554,87.16158234618281,84.353
5281,MnF4,4.96872,-3.14918,0.033,-0.024,-2.27007,-2.314,0.3222,0.411,44.99,42.317,32.97,26.334,79.49197749196142,65.686
6293,SrAs2,5.19466,-3.10912,,0.705,,-0.856,,1.608,,70.816,,39.71,,99.479
3452,LiAuF4,5.13621,-3.10715,,2.828,,-2.192,,-0.031,,44.907,,17.409,,44.848
4779,PrTe2Se,5.17079,-3.10531,0.0,-0.013,-1.13812,-1.102,0.0,-0.178,,24.084,,14.375,,35.82
4653,SmZnPO,4.76927,-3.08075,1.474,2.06,-1.84605,-2.091,0.0,1.938,93.99999999999997,59.945,55.00000000000001,34.801,138.0712166172107,86.485
5543,NaMgSb,4.95886,-3.0807,1.172,1.181,-0.57515,-0.533,0.0,-0.07,29.1,23.816,17.86,14.468,44.480163560289085,36.007
166,NbF3,5.05978,-3.05827,0.0,0.192,-2.69514,-2.756,0.5865,0.648,95.03,93.146,44.96,49.296,116.50640569610665,125.899
6071,CoBr3,5.3025,-3.02569,,0.366,,-0.572,,-0.027,,24.906,,13.669,,33.942
6993,Ag2SO4,4.81966,-2.98162,1.29,1.331,-0.91061,-0.824,1.6617,1.719,70.79,69.353,9.07,14.151,26.09550081286127,39.135
7114,Pt2Pb,4.88648,-2.96567,0.0,-0.113,0.77342,-0.107,0.0,0.107,,45.771,,26.553,,66.9
5506,TiTl2F6,4.40349,-2.94984,3.589,3.994,-2.89474,-3.0,0.0,-0.165,37.11,32.063,13.77,15.241,36.76292805755396,39.355
6525,Li2CeAs2,5.07631,-2.94583,0.706,0.682,-1.03869,-1.06,1.5402,1.621,52.51,51.039,33.05,30.709,81.95560656941967,76.728
7707,VOF,4.79311,-2.93532,0.633,0.634,-2.57675,-2.643,1.0992,1.027,91.08,96.821,47.77,48.821,121.98381483442884,125.301
1444,Au2S,4.78047,-2.91833,2.149,1.927,-0.04796,-0.058,0.7992,0.74,74.27,73.14,5.02,2.323,14.728168371153927,9.516
1437,SI,5.04216,-2.89134,0.0,-0.06,0.41484,0.347,0.7307,0.704,,14.433,,6.817,,18.282
6357,Be2Ge,4.54582,-2.89126,,0.961,,-1.342,,0.703,,35.276,,22.025,,54.82
1730,ZrBr2,5.35007,-2.887,0.0,1.185,-1.2400776033333338,-1.832,,0.352,,46.239,,25.222,,62.188
6576,VPbClO3,5.09856,-2.88093,2.0,2.178,-2.01368,-2.142,1.8709,2.061,47.91,50.104,25.97,26.398,65.98706128461991,66.577
6996,Co3SbO8,5.03532,-2.87228,0.0,-0.054,-1.04185,-1.042,0.0,-0.187,,17.042,,8.345,,21.022
7051,Mg2SiO4,4.65941,-2.84704,4.021,3.321,-2.66738,-1.485,1.4231,2.192,193.24,76.519,116.73,40.925,291.4956519491708,101.017
6263,B3Os2,4.55694,-2.84077,0.0,-0.113,-0.25834391200000084,0.643,,3.299,,100.372,,8.359,,25.516
3274,C,5.04758,-2.83021,3.536,3.785,0.23802,0.349,0.2419,-0.02,419.28,483.952,475.47,533.657,1035.1267542447686,1175.624
1831,MgCu,4.68979,-2.82438,0.0,-0.03,-0.0910529999999996,-0.054,,-0.008,68.99999999999999,63.522,36.0,34.171,92.0,86.027
7091,TmAgP2Se6,4.59889,-2.81675,1.667,0.738,-0.54342,-0.422,1.7876,0.598,29.24,30.662,14.51,13.655,37.35157585835859,34.838
4455,TlPd2Se3,4.82107,-2.80873,0.0,0.722,-0.38275,-0.466,1.2045,0.507,39.37,45.819,19.32,24.476,49.811944990176826,61.536
6139,YSn5,4.93795,-2.807,,0.703,,-1.46,,0.319,,33.417,,21.683,,53.713
6941,TePb,4.67154,-2.80693,1.013,0.964,-0.41685,-0.391,0.1779,0.058,41.38,38.475,30.03,26.767,72.54182136602451,64.97
6974,Sb2TeSe2,4.48233,-2.80479,0.4,0.384,-0.23647,-0.214,1.4255,1.365,36.62,37.554,23.21,19.188,57.48517171413542,48.627
7059,DyTe3,4.75639,-2.80285,0.0,-0.021,-0.53742,-0.517,0.0,-0.223,,27.12,,15.233,,37.986
